signal_idx,entry_time,date,strategy,direction,reason,level,spread_moves,body_moves,recent_moves,entry,stop,target,exit_price,exit_time,outcome,pnl_moves,hold_minutes,ambiguous_same_candle
2071,2026-06-03 16:32:00+03:00,2026-06-03,Fast Reversal,BUY,Rise 62.0 moves from recent low + green candle,1.15989,2.0,12.0,30.5,1.16052,1.16034,1.16077,1.16034,2026-06-03 16:33:00+03:00,LOSS,-18.0,1,False
2079,2026-06-03 16:40:00+03:00,2026-06-03,Fast Reversal,BUY,Rise 35.0 moves from recent low + green candle,1.16024,2.0,13.0,7.0,1.1606,1.16042,1.16085,1.16042,2026-06-03 16:42:00+03:00,LOSS,-18.0,2,False
2086,2026-06-03 16:47:00+03:00,2026-06-03,Fast Reversal,SELL,Drop 43.5 moves from recent high + red candle,1.16063,3.0,20.5,29.0,1.16018,1.16036,1.15993,1.15993,2026-06-03 16:50:00+03:00,WIN,25.0,3,False
2093,2026-06-03 16:54:00+03:00,2026-06-03,Fast Reversal,BUY,Rise 32.5 moves from recent low + green candle,1.15989,4.0,8.0,23.5,1.16023,1.16005,1.16048,1.16048,2026-06-03 17:00:00+03:00,WIN,25.0,6,False
2099,2026-06-03 17:00:00+03:00,2026-06-03,Fast Reversal,BUY,Rise 68.5 moves from recent low + green candle,1.15989,4.0,26.5,29.0,1.16059,1.16041,1.16084,1.16041,2026-06-03 17:03:00+03:00,LOSS,-18.0,3,False
2104,2026-06-03 17:05:00+03:00,2026-06-03,Fast Reversal,SELL,Drop 49.0 moves from recent high + red candle,1.16068,2.0,15.0,39.0,1.16018,1.16036,1.15993,1.16036,2026-06-03 17:10:00+03:00,LOSS,-18.0,5,False
2109,2026-06-03 17:10:00+03:00,2026-06-03,Fast Reversal,BUY,Rise 40.0 moves from recent low + green candle,1.16,1.0,32.5,21.0,1.16041,1.16023,1.16066,1.16066,2026-06-03 17:13:00+03:00,WIN,25.0,3,False
2115,2026-06-03 17:16:00+03:00,2026-06-03,Fast Reversal,SELL,Drop 41.0 moves from recent high + red candle,1.16087,3.0,10.5,12.0,1.16045,1.16063,1.1602,1.1602,2026-06-03 17:19:00+03:00,WIN,25.0,3,False
2121,2026-06-03 17:22:00+03:00,2026-06-03,Fast Reversal,BUY,Rise 31.0 moves from recent low + green candle,1.15996,1.0,11.5,19.0,1.16027,1.16009,1.16052,1.16009,2026-06-03 17:30:00+03:00,LOSS,-18.0,8,False
2129,2026-06-03 17:30:00+03:00,2026-06-03,Fast Reversal,SELL,Drop 45.5 moves from recent high + red candle,1.16048,1.0,35.5,37.5,1.16002,1.1602,1.15977,1.1602,2026-06-03 17:33:00+03:00,LOSS,-18.0,3,False
